Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
CMX Onsite Support,CTET-4966,82032,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,03/Sep/24 9:19 AM,03/Sep/24 9:19 AM,04/Sep/24 2:25 PM,03/Sep/24 9:19 AM,,0,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@182c646a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07bg9:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_31402_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:19 AM
Generate Documentation and Hand - Off - 25% Complete ,CTET-4965,82030,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,Jens Clausen,712020:5189a75b-0b51-4fee-bf59-340c18b71135,03/Sep/24 8:19 AM,03/Sep/24 5:55 PM,04/Sep/24 2:25 PM,03/Sep/24 5:55 PM,,0,,,Jens Clausen,,712020:5189a75b-0b51-4fee-bf59-340c18b71135,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f9014ca,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3497,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",,,,,,,,,,,,,,,,,,,,,,,2|i07bft:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_34583321_*|*_10001_*:*_1_*:*_0,,,79395,"24-Q2-KR3.5: Design, build & commission thermal burn in tester (inverter)",Done,03/Sep/24 5:55 PM
Share ALP Manufacturing Test Tracker with Edgar,CTET-4963,82027,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,Alex Wong,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,03/Sep/24 7:06 AM,04/Sep/24 2:02 PM,04/Sep/24 2:25 PM,04/Sep/24 2:02 PM,,0,,,Alex Wong,,712020:827f28c4-984f-4ab5-942e-d261e249c6a3,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79732c27,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07bex:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_103088367_*|*_10000_*:*_1_*:*_8267082_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 2:02 PM
Backlog for Intertek/TUV Audit,CTET-4960,82018,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,30/Aug/24 3:27 PM,04/Sep/24 10:33 AM,04/Sep/24 10:33 AM,04/Sep/24 10:33 AM,,0,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f5e621f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b9b:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_414358772_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 10:33 AM
Explore options for ICT test equipment,CTET-4959,82016,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,30/Aug/24 1:45 PM,04/Sep/24 10:33 AM,04/Sep/24 10:32 AM,,,0,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1c36ecfc,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzzgd5:0hzzzzzzzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,In Progress,04/Sep/24 10:32 AM
Gather coverage requirements for SDS Calibration test fixture,CTET-4958,81999,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,29/Aug/24 4:11 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1cad83ea,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i07b95:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,30/Aug/24 9:57 AM
Begin ordering parts for SDS impedance test fixture,CTET-4957,81998,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,29/Aug/24 4:08 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c4f44d1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i07b8x:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,03/Sep/24 9:34 AM
Order parts for guarding SDS EOL Test fixture,CTET-4956,81997,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,29/Aug/24 4:07 PM,03/Sep/24 9:57 AM,04/Sep/24 2:25 PM,03/Sep/24 9:34 AM,,0,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@798db92b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i07b8p:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_408396601_*|*_10001_*:*_1_*:*_0,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,Done,03/Sep/24 9:34 AM
Work on design of SDS Impedance test fixture V3,CTET-4955,81996,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,Dillon Dawson,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,29/Aug/24 4:07 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Dillon Dawson,,712020:2423f35c-e2a8-42c7-a4ea-4318efd80000,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22644fe7,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3063,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,,,,,,,,,,,,,,,,,,,,,,,2|i07b8h:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,78512,24-Q2-KR2.4: SDS EOL Interface Fixture updated and improved,In Progress,29/Aug/24 4:07 PM
new factorysoftware changes to BMU code & testing,CTET-4954,81994,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 3:36 PM,04/Sep/24 11:31 AM,04/Sep/24 2:25 PM,04/Sep/24 11:31 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e77d6b8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b81:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_503719956_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 11:31 AM
Seun NUC linux support,CTET-4953,81991,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 1:50 PM,03/Sep/24 9:16 AM,04/Sep/24 2:25 PM,03/Sep/24 9:16 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@866483a,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b7t:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_415573771_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:16 AM
SDS impedance tester updates,CTET-4952,81982,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,29/Aug/24 10:29 AM,03/Sep/24 3:35 PM,04/Sep/24 2:25 PM,03/Sep/24 3:35 PM,,0,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@eb7b36,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b5t:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_434235917_*|*_10000_*:*_1_*:*_16109628_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 3:35 PM
machine list ,CTET-4951,81981,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,29/Aug/24 10:27 AM,03/Sep/24 1:40 PM,04/Sep/24 2:25 PM,03/Sep/24 1:40 PM,,0,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d7a2ab1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b5l:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_427345982_*|*_10000_*:*_1_*:*_16238527_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 1:40 PM
shop clean up,CTET-4950,81980,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,Adam Marcinkowski,712020:140701ef-2070-4db2-9ccb-33203fbefa7f,29/Aug/24 10:26 AM,03/Sep/24 7:45 AM,04/Sep/24 2:25 PM,03/Sep/24 7:45 AM,,0,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3f553a46,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b5d:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_406056980_*|*_10000_*:*_1_*:*_16283645_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 7:45 AM
BMU fan TACH reading request,CTET-4949,81979,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 10:10 AM,04/Sep/24 11:32 AM,04/Sep/24 2:25 PM,03/Sep/24 9:22 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ca35fce,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b4x:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_429071879_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:22 AM
Thermal NUC set-up,CTET-4948,81978,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 10:10 AM,03/Sep/24 9:16 AM,04/Sep/24 2:25 PM,03/Sep/24 9:16 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@712a8412,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b4p:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_428777438_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:16 AM
BMU code linter fix + modifications for merging into development part 1,CTET-4947,81977,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 10:09 AM,03/Sep/24 9:16 AM,04/Sep/24 2:25 PM,03/Sep/24 9:16 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6ae853e7,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b4h:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_428810184_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:16 AM
Thermal burn-in support,CTET-4946,81976,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 10:09 AM,04/Sep/24 11:31 AM,04/Sep/24 2:25 PM,04/Sep/24 11:31 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@177832df,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b49:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_523333387_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 11:31 AM
test new harness on BMU EOL part 1,CTET-4945,81975,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,Zeren Zhang,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,29/Aug/24 10:09 AM,03/Sep/24 9:17 AM,04/Sep/24 2:25 PM,03/Sep/24 9:17 AM,,0,,,Zeren Zhang,,712020:c3da1bcd-6a67-4712-81b1-fec30426dd16,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a0352d4,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b41:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_428893432_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:17 AM
Robustify debug serial port identification and opening.,CTET-4944,81973,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,29/Aug/24 8:49 AM,03/Sep/24 4:13 PM,04/Sep/24 2:25 PM,03/Sep/24 2:49 PM,,0,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55870c64,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,10547_*:*_1_*:*_1960_*|*_10000_*:*_1_*:*_453621942_*|*_10001_*:*_1_*:*_0,03/Sep/24 4:13 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;[https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|https://github.com/generacclean/firmwareflashstation/commit/c7c9b1e71d1dac58aa005fd9e27b3e8f9a3f3b37|smart-link] ,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,03/Sep/24 2:49 PM
